Round,Opponent,Venue,days_since_first_match,Result,Total_Shots_team,Total_SoT_team,Total_xG_team,Total_Possession,Goals_Per_Match_team,Goals_Conceded_Per_Match_team,Goals_Scored_Haaland,SoT_Haaland,Expected_Goals_Haaland,Non_Penalty_xG_Haaland,xG_per_Shot_Haaland,Shot_Accuracy_Haaland,Goals_Per_Shot_Haaland,Assists_Haaland,Minutes_Played_Haaland,xG_Per_Minute_Haaland,Goals_Per_Minute_Haaland,SCA_Per_Minute_Haaland,GCA_Per_Minute_Haaland,Match_Impact_Haaland,Home_Away,Opponent_Strength,Match_Event_Influence,Match_Tempo,Expected Goals
12,6,0,93,0,14,9,2.9,55,0.3333333333333333,0.3333333333333333,2,9,2.9,2.1,0.20714285714285713,0.6428571428571429,0.2857142857142857,1,90,0.03222222222222222,0.044444444444444446,0.03333333333333333,0.011111111111111112,8,0,0.88,0,0.15555555555555556,2.9
12,6,0,93,0,14,9,2.9,55,0.3333333333333333,0.3333333333333333,2,9,2.9,2.1,0.20714285714285713,0.6428571428571429,0.2857142857142857,1,90,0.03222222222222222,0.044444444444444446,0.03333333333333333,0.011111111111111112,8,0,0.88,0,0.15555555555555556,2.9
12,6,0,93,0,14,9,2.9,55,0.3333333333333333,0.3333333333333333,2,9,2.9,2.1,0.20714285714285713,0.6428571428571429,0.2857142857142857,1,90,0.03222222222222222,0.044444444444444446,0.03333333333333333,0.011111111111111112,8,0,0.88,0,0.15555555555555556,2.9
12,6,0,93,0,14,9,2.9,55,0.3333333333333333,0.3333333333333333,2,9,2.9,2.1,0.20714285714285713,0.6428571428571429,0.2857142857142857,1,90,0.03222222222222222,0.044444444444444446,0.03333333333333333,0.011111111111111112,8,0,0.88,0,0.15555555555555556,2.9
13,10,1,106,0,16,5,1.3,59,0.07692307692307693,0.07692307692307693,1,5,1.3,1.3,0.08125,0.3125,0.0625,0,90,0.014444444444444446,0.011111111111111112,0.0,0.0,1,0,3.45,0,0.17777777777777778,1.3
13,10,1,106,0,16,5,1.3,59,0.07692307692307693,0.07692307692307693,1,5,1.3,1.3,0.08125,0.3125,0.0625,0,90,0.014444444444444446,0.011111111111111112,0.0,0.0,1,0,3.45,0,0.17777777777777778,1.3
13,10,1,106,0,16,5,1.3,59,0.07692307692307693,0.07692307692307693,1,5,1.3,1.3,0.08125,0.3125,0.0625,0,90,0.014444444444444446,0.011111111111111112,0.0,0.0,1,0,3.45,0,0.17777777777777778,1.3
13,10,1,106,0,16,5,1.3,59,0.07692307692307693,0.07692307692307693,1,5,1.3,1.3,0.08125,0.3125,0.0625,0,90,0.014444444444444446,0.011111111111111112,0.0,0.0,1,0,3.45,0,0.17777777777777778,1.3
13,10,1,106,0,16,5,1.3,59,0.07692307692307693,0.07692307692307693,1,5,1.3,1.3,0.08125,0.3125,0.0625,0,90,0.014444444444444446,0.011111111111111112,0.0,0.0,1,0,3.45,0,0.17777777777777778,1.3
14,16,1,114,0,17,4,2.6,55,0.14285714285714285,0.21428571428571427,0,4,2.6,2.6,0.15294117647058825,0.23529411764705882,0.11764705882352941,1,90,0.02888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,7,0,0.71,-1,0.18888888888888888,2.6
14,16,1,114,0,17,4,2.6,55,0.14285714285714285,0.21428571428571427,0,4,2.6,2.6,0.15294117647058825,0.23529411764705882,0.11764705882352941,1,90,0.02888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,7,0,0.71,-1,0.18888888888888888,2.6
14,16,1,114,0,17,4,2.6,55,0.14285714285714285,0.21428571428571427,0,4,2.6,2.6,0.15294117647058825,0.23529411764705882,0.11764705882352941,1,90,0.02888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,7,0,0.71,-1,0.18888888888888888,2.6
14,16,1,114,0,17,4,2.6,55,0.14285714285714285,0.21428571428571427,0,4,2.6,2.6,0.15294117647058825,0.23529411764705882,0.11764705882352941,1,90,0.02888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,7,0,0.71,-1,0.18888888888888888,2.6
14,16,1,114,0,17,4,2.6,55,0.14285714285714285,0.21428571428571427,0,4,2.6,2.6,0.15294117647058825,0.23529411764705882,0.11764705882352941,1,90,0.02888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,7,0,0.71,-1,0.18888888888888888,2.6
15,1,0,117,1,2,2,0.6,54,0.0,0.06666666666666667,0,2,0.6,0.6,0.3,1.0,0.0,0,90,0.006666666666666666,0.0,0.011111111111111112,0.0,1,0,0.57,-1,0.022222222222222223,0.6
15,1,0,117,1,2,2,0.6,54,0.0,0.06666666666666667,0,2,0.6,0.6,0.3,1.0,0.0,0,90,0.006666666666666666,0.0,0.011111111111111112,0.0,1,0,0.57,-1,0.022222222222222223,0.6
16,11,0,121,2,18,6,1.6,65,0.125,0.0625,0,6,1.6,1.6,0.08888888888888889,0.3333333333333333,0.1111111111111111,0,0,inf,inf,,,2,0,-0.9,1,inf,1.6
17,7,1,127,0,19,9,1.6,74,0.11764705882352941,0.11764705882352941,0,9,1.6,1.6,0.08421052631578947,0.47368421052631576,0.10526315789473684,0,0,inf,inf,,,2,0,-0.18,0,inf,1.6
19,8,0,138,2,22,8,2.4,72,0.15789473684210525,0.05263157894736842,0,8,2.4,1.8,0.10909090909090909,0.36363636363636365,0.13636363636363635,0,0,inf,inf,,,3,0,-0.1,2,inf,2.4
20,15,1,141,2,18,4,2.2,80,0.1,0.0,0,4,2.2,2.2,0.12222222222222223,0.2222222222222222,0.1111111111111111,0,0,inf,inf,,,2,0,-1.03,2,inf,2.2
21,13,0,155,2,27,11,3.0,72,0.14285714285714285,0.09523809523809523,0,11,3.0,3.0,0.1111111111111111,0.4074074074074074,0.1111111111111111,0,0,inf,inf,,,3,0,0.96,1,inf,3.0
22,5,1,173,2,14,4,1.7,74,0.13636363636363635,0.045454545454545456,0,4,1.7,1.7,0.12142857142857143,0.2857142857142857,0.21428571428571427,0,20,0.08499999999999999,0.15,0.05,0.0,4,0,-0.79,2,0.7,1.7
22,5,1,173,2,14,4,1.7,74,0.13636363636363635,0.045454545454545456,0,4,1.7,1.7,0.12142857142857143,0.2857142857142857,0.21428571428571427,0,20,0.08499999999999999,0.15,0.05,0.0,4,0,-0.79,2,0.7,1.7
