minute,result,X,Y,xG,player,situation,season,shotType,Date,player_assisted,lastAction,time,squad,opponent,venue,GF,GA
65,Goal,0.9440000152587892,0.5220000076293946,0.6212957501411438,Erling Haaland,OpenPlay,2023,LeftFoot,2024-04-06,Kevin De Bruyne,Pass,11:30:00,Manchester City,Crystal Palace,Away,4,2
1,MissedShots,0.8969999694824219,0.4670000076293945,0.1198847740888595,Erling Haaland,OpenPlay,2023,LeftFoot,2024-04-13,,Rebound,14:00:00,Manchester City,Luton,Home,5,1
1,SavedShot,0.845,0.509000015258789,0.2417893707752227,Erling Haaland,OpenPlay,2023,RightFoot,2024-04-13,Kevin De Bruyne,Pass,14:00:00,Manchester City,Luton,Home,5,1
17,MissedShots,0.955,0.5579999923706055,0.4838408529758453,Erling Haaland,OpenPlay,2023,LeftFoot,2024-04-13,Kevin De Bruyne,Cross,14:00:00,Manchester City,Luton,Home,5,1
24,BlockedShot,0.8880000305175781,0.5,0.1201772093772888,Erling Haaland,OpenPlay,2023,LeftFoot,2024-04-13,,,14:00:00,Manchester City,Luton,Home,5,1
75,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2024-04-13,,Standard,14:00:00,Manchester City,Luton,Home,5,1
70,Goal,0.905,0.409000015258789,0.3861182034015655,Erling Haaland,OpenPlay,2023,RightFoot,2024-04-28,Kevin De Bruyne,Pass,15:30:00,Manchester City,Nottingham Forest,Away,2,0
94,SavedShot,0.94,0.6409999847412109,0.1071503907442092,Erling Haaland,OpenPlay,2023,LeftFoot,2024-04-28,Oscar Bobb,Pass,15:30:00,Manchester City,Nottingham Forest,Away,2,0
11,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2024-05-04,,Standard,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
16,SavedShot,0.926999969482422,0.5570000076293945,0.4206187129020691,Erling Haaland,OpenPlay,2023,Head,2024-05-04,Bernardo Silva,Aerial,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
34,Goal,0.95,0.5990000152587891,0.0497245080769062,Erling Haaland,OpenPlay,2023,Head,2024-05-04,Rodri,Chipped,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
47,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2024-05-04,,Standard,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
53,Goal,0.8719999694824219,0.3770000076293945,0.1067220047116279,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-04,Phil Foden,Chipped,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
57,BlockedShot,0.8569999694824219,0.5790000152587891,0.1043671742081642,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-04,Kevin De Bruyne,Pass,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
59,SavedShot,0.904000015258789,0.435,0.4304244518280029,Erling Haaland,OpenPlay,2023,RightFoot,2024-05-04,Josko Gvardiol,Pass,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
